codigo;nombre;fecha_ejecucion;descripcion;entidad;lider;cargo_lider;plataforma;crm
CB-NO-IN-VOIT1200-77447-PRB;Desincorporación de servidores;4/02/2026;La solicitud presentada corresponde a la eliminación de dos servidores del ambiente corporativo de QA en la sede de Castellana, los cuales ya no se encuentran en uso y cuyo desmonte permitirá recuperar recursos para reasignarlos a máquinas que los requieran. Durante la exposición, se explicó que uno de los servidores funcionaba previamente como WSUS, encargado de gestionar y filtrar las actualizaciones de equipos y servidores, proceso que ahora se realiza directamente desde Microsoft, mientras que el segundo servidor alojaba una aplicación DLP utilizada por el área del ingeniero Raúl, la cual dejó de utilizarse. El plan de trabajo contempla el apagado de ambos servidores, la realización de un backup preventivo y posteriormente su eliminación, con la posibilidad de restaurar la última copia en caso de ser necesario. Se indicó que el impacto es bajo debido a que los servidores no soportan procesos operativos ni servicios productivos, y no afectan la operación interna de los ingenieros, analistas o áreas de certificación. Durante la sesión, se confirmó que el cambio aplica únicamente al ambiente de Castellana y que no existe afectación sobre producción ni sobre los ambientes de Redeban. El comité verificó que la documentación está completa y validó que la ejecución está programada para el 4 de febrero a las 10:00 a. m., tratándose únicamente del apagado y posterior desinstalación de los servidores. Tras resolver inquietudes sobre alcances, impacto y cantidad de servidores involucrados, los miembros del comité confirmaron su aprobación y el cambio quedó autorizado para su ejecución en la fecha establecida.;AS•NET;Ilay Acosta;Administrador de plataforma;Servidores IT;77447
CB-NO-EX-AS2669-77482-PBCL;Solicitud Comité de Cambio Normal - AS2669 Servicio Web Service - Match PRO ENT1;Entrega cliente licenciamiento;El cambio consiste en la implementación de un nuevo proceso para el módulo de comercios con Redeban, debido a que Mastercard apagó el servicio Batch usado para intercambiar información de comercios. Para reemplazarlo, se desarrolló un jar que enviará automáticamente las novedades de creación o modificación de comercios hacia un bus de Redeban, el cual gestionará la comunicación con Mastercard y devolverá la respuesta, que será almacenada en AS/400 para consulta posterior. También se creó un trigger en AS/400 para detectar estas novedades y enviarlas al jar. Al ser un proceso completamente nuevo, no requiere rollback y el impacto es bajo. Tras la aprobación del comité, los artefactos se entregarán al cliente, quien realizará la instalación en su máquina de pruebas, y cualquier CRM que surja será atendido por certificación y soporte técnico si es necesario.;RBM - Comercios;Cesar Mejia;Líder técnico;AS400 - JAVA;77482
CB-NO-IN-AS262901-77470-PRD;AS2629 MANDATE ZVAV;24/02/2026;El cambio corresponde a un mandate de la franquicia Visa, mediante el cual, según la documentación técnica suministrada por la marca, se debe crear una nueva transacción de consulta de cuenta que utilizará el código de procesamiento 33. La fábrica de software realizó toda la configuración necesaria para habilitar este nuevo flujo transaccional, asegurando su enrutamiento desde el switch BASE24 pasivo hacia el autorizador, con respuestas equivalentes a las ya manejadas por el sistema en la transacción de consulta existente para Visa, cuyo tipo inicia con 8900. El cambio cuenta con documentación completa y está programado para ejecutarse el 24 de febrero, y durante la sesión se aclaró que la configuración en producción será realizada durante el día y requerirá reinicio del sistema, pues este no soporta actualización de parámetros en memoria. A solicitud del comité, se acordó realizar una sesión de revisión previa el mismo día para validar los parámetros configurados como control dual, y coordinar sesiones de capacitación operativa para el personal que atiende en primera línea, incluyendo representantes de Operaciones, Mesa de Control y el equipo encargado de CRM. Se destacó que la criticidad del cambio es baja, el rollback es moderado y el impacto también es bajo. Tras resolver inquietudes sobre la ejecución, validaciones en producción y personal involucrado, los miembros del comité aprobaron el cambio para su implementación en la fecha indicada.;AS•NET;Yeison Arcos;Líder técnico;AS400;77470
CB-NO-IN-AS246902-77425-PDCL;AS246902 - Mejora de pagos en línea;24/02/2026;"En el proyecto de mejora de pagos en línea se presentó una nueva funcionalidad orientada a gestionar temporalmente las transacciones que tarjeta de crédito no puede responder cuando se encuentra en estado de cierre. Actualmente, estas operaciones quedan pendientes y solo se aplican al día siguiente. Con la mejora, dichas transacciones se almacenarán temporalmente y serán aplicadas automáticamente durante el inicio de día, tanto en tarjeta de crédito como en el autorizador, permitiendo la disponibilidad inmediata del saldo.
La implementación se realizará en dos fases. La primera, programada para el 23 de febrero, contempla el paso de los objetos utilitarios y los ajustes asociados al control del estado de cierre, los cuales se ejecutarán en horario diurno para monitorear su comportamiento en los cierres nocturnos. El resto de los componentes será migrado en la ventana de mantenimiento. Como prerrequisito, el equipo de operaciones deberá validar y actualizar la librería de crédito requerida por los módulos del autorizador.
Durante la sesión se confirmó que se contará con monitoreo tanto en la fase diurna como en los cierres nocturnos, dada la sensibilidad del proceso y antecedentes de duplicidades. También se precisó que la actualización del web service transaccional se efectuará en horario nocturno. Adicionalmente, se revisará la posible relación entre esta mejora y un proyecto de innovación sobre pagos en línea en cierre, a fin de validar su alcance.
El cambio cuenta con la documentación completa y con pruebas de vulnerabilidad, y está programado para el 23 de febrero a las 10:00 a. m. Tras su evaluación, el Comité aprobó la implementación sin observaciones adicionales.";AS•NET;Yeison Arcos;Líder técnico;AS400;77425
CB-NO-IN-AS244901 -CRM77459-PRD;AS244901 IMPLEMENTACIÓN MODERNIZACIÓN BAC;2/02/2026;"
El cambio correspondiente al CRM 77459 está relacionado con el proyecto de modernización del Banco Agrario y busca corregir un comportamiento inconsistente identificado en el proceso personalizado de enrolamiento para tarjetas empresariales, donde el sistema estaba obligando a diligenciar campos que no aplican para este tipo de tarjeta. Para resolverlo, el ingeniero responsable realizó un ajuste en el proceso a fin de que dichos campos dejen de ser obligatorios. El plan de trabajo contempla solicitar la creación del backup conforme a la orden de proceso, restaurar el ambiente en la máquina de PCI e instalar y verificar el componente actualizado; en caso de un evento anómalo, el rollback consistirá en restaurar el backup previo y validar que el componente retorne a su estado original. El impacto y el riesgo del cambio se consideran bajos, mientras que el impacto del rollback se clasifica como moderado. Como parte del plan de seguimiento, se efectuarán enrolamientos de tarjetas empresariales para confirmar que los campos corregidos no se presenten como mandatorios. El comité validó que el cambio cuenta con documentación completa, análisis y revisión de vulnerabilidades y confirmó su ejecución para el día de hoy a las 11:00 p. m., con una duración estimada de una hora, aprobándolo sin observaciones adicionales.";BPO Banco Agrario;Deicy Maldonado;Líder de desarrollo senior;AS400;77459
CB-NO-EX-AS247501-77479-PRD;NOTIFICACIÓN DE TRANSACCIONES;24/02/2026;"El tercer cambio corresponde al CRM 77479, el cual consiste en actualizar el componente del proyecto Notificador asociado a Banco Unión. Este banco solicitó que las plantillas de notificación discriminen si una transacción corresponde a una operación “presente” o “no presente”. La funcionalidad aplica únicamente cuando existe una parametrización configurada; de lo contrario, el sistema continuará enviando las notificaciones con el formato actual, sin afectar a las demás entidades. El objetivo es dejar la funcionalidad preparada en el sistema, de modo que, cuando Banco Unión solicite su activación, solo sea necesario configurar las plantillas específicas para este cliente.

El cambio se ejecutará durante la ventana de mantenimiento y el monitoreo consistirá en validar que el archivo de notificaciones AONLG mantengan su funcionamiento habitual, verificando que las transacciones de cada cliente continúen siendo reportadas correctamente al notificador. La mejora aplica exclusivamente a transacciones de compra en modalidad presente y no presente; sin configuraciones adicionales que no serán migradas en esta entrega, el ajuste será completamente transparente para las demás entidades. Se confirmó que se realizaron pruebas de regresión con otros clientes para garantizar que no se generen afectaciones.
El cambio cuenta con documentación completa y con análisis técnico sin vulnerabilidades, y está programado para ejecutarse el 24 de febrero a partir de la medianoche. Los miembros del Comité aprobaron la solicitud sin observaciones adicionales.";BPO Banco Unión;Yeison Arcos;Líder técnico;AS400;77479
CB-NO-EX-AS265001-77478-PRD;AJUSTE PARAMETRIZACIÓN CVV;24/02/2026;"El cambio correspondiente al CRM 77478 hace parte de un proyecto solicitado por Banco Mundo Mujer, cuyo objetivo es permitir que la entidad pueda parametrizar y controlar límites específicos para determinadas transacciones de compra. Para ello, se implementará un mantenimiento web donde el cliente podrá definir el valor del límite, y los programas del autorizador leerán esta configuración para validar si las transacciones cumplen o no con dicho parámetro, evitando rechazos indebidos cuando se encuentren dentro del rango establecido.
Aunque los programas son base, el autorizador permite configurar qué rutinas aplica cada entidad; por lo tanto, esta funcionalidad solo será activada para Banco Mundo Mujer, sin generar impacto en otras instituciones que no configuren la opción. La activación se realizará mediante plantillas, las cuales se pasarán inicialmente apagadas, lo que garantiza que ninguna otra entidad resulte afectada.
El plan de trabajo contempla su ejecución dentro de la ventana de mantenimiento e incluye un reinicio tanto de la capa 400 como de la capa media. En cuanto a la evaluación del impacto, se considera bajo, dado que aunque la funcionalidad no modifica procesos de seguridad ni validaciones asociadas a CVV. La activación del control dependerá del contenido de ciertas transacciones, específicamente aquellas con valores del tipo “XXX”, que corresponden a pagos recurrentes (por ejemplo, suscripciones a gimnasios o membresías). Actualmente, el autorizador ya interpreta este tipo de transacciones sin validar criptografía, por lo que el comportamiento es coherente con lo que el sistema procesa hoy en día.
El cambio cuenta con la documentación completa, análisis funcional y técnico, y reporta ausencia de vulnerabilidades. Su ejecución está programada para el 24 de febrero, dentro de la ventana correspondiente. Tras su presentación, los miembros del Comité aprobaron el cambio sin observaciones adicionales.";BPO Banco Mundo Mujer;Yeison Arcos;Líder técnico;AS400;77478
CB-NO-IN-AS269001-77476-PDCL;AS2690 OPTIMIZACIÓN: USO DE PUERTOS DE COMUNICACIONES;24/02/2026;"El cambio CRM 77476 corresponde a un proyecto de optimización de puertos cuyo objetivo es automatizar la recuperación de sesiones de conexión con las redes externas (Credibanco, Mastercard Redeban, entre otras). Actualmente, algunas entidades reportan caídas en la conexión y, cuando esto ocurre, el equipo operativo debe realizar manualmente el diagnóstico, identificar los puertos afectados y reiniciar la sesión para restablecer el flujo de transacciones administrativas. La mejora propuesta busca que este proceso sea gestionado automáticamente por el sistema.
La funcionalidad implementará un mecanismo que monitorea los tiempos de respuesta de la sesión y, si detecta un destiempo o una pérdida de comunicación, cerrará la conexión y generará una nueva sesión de manera automática. Esto reemplaza la tarea manual que hoy realiza el operador y permitirá una recuperación más ágil y consistente. El comportamiento será configurable, pudiendo habilitarse o deshabilitarse según cada entidad. Para la primera etapa, se ejecutará como piloto en Ban100, entidad que solicitó controles adicionales y donde se coordinará la parametrización inicial. Posteriormente podrá habilitarse en otras instituciones mediante la actualización de parámetros en memoria, sin requerir ventana de mantenimiento.
En cuanto al monitoreo, se indicó que el sistema ya cuenta con registros (logs) que documentan reinicios, pérdidas de comunicación y número de reintentos de conexión. La nueva funcionalidad también registrará estos eventos, manteniendo trazabilidad para el seguimiento operativo. El comportamiento será transparente para operaciones, dado que los mismos indicadores que hoy alertan la caída (por ejemplo, ausencia de transacciones administrativas tipo 800) seguirán aplicando.
El cambio cuenta con documentación completa, análisis funcional y técnico, y no presenta vulnerabilidades. Su ejecución está programada para el 23 de febrero a las 12:00 a. m. Tras su presentación, el Comité aprobó el cambio sin observaciones adicionales.";AS•NET;Yeison Arcos;Líder técnico;AS400;77476
CB-NO-IN-AS260001 -77475-PDCL;AS260001 MANDATE ANUNCIOS 7411 - 6022 - 7102 - 6568;17/02/2026;"El cambio corresponde a un mandate que agrupa tres requerimientos, de los cuales solo uno implica una evaluación paramétrica para el cliente: la administración de países no permitidos. Este mandate aplica exclusivamente para entidades que operan con franquicia Mastercard. La mejora consiste en desplegar un nuevo formato de captura en el portal web, donde cada entidad podrá configurar los países en los cuales se permitirá o restringirá la validación de transacciones asociadas a tokens. Con base en esa configuración, el autorizador verificará los parámetros y determinará si la transacción debe ser aprobada o rechazada.
En cuanto al plan de trabajo, debido a las limitaciones de despliegue en capa media (que solo admite uno o dos pasos por día), la implementación se dividirá en dos etapas. La primera iniciará el 17 de febrero, migrando los componentes de capa media. Aunque estos componentes quedarán instalados, la funcionalidad no será visible en el portal hasta que las entidades ejecuten el instructivo correspondiente. La segunda etapa se llevará a cabo el 24 de febrero en la madrugada, momento en el cual se migrarán los componentes de la capa 400.
El impacto del cambio se considera moderado, dado que se modificará el comportamiento del portal web para las tres entidades Mastercard y se agregarán nuevas opciones de mantenimiento. Por esta razón, el despliegue se realizará de forma controlada y en fechas separadas, permitiendo validar el comportamiento antes de extenderlo al resto. Entre el 17 y el 20 de febrero se verificará que no haya afectaciones sobre el portal web y, a partir del 23, se confirmará que los tokens informativos recibidos no generen procesamiento alguno mientras no se activen las validaciones en cada entidad.
Durante la sesión se aclaró que ninguna entidad tiene actualmente habilitados los tokens asociados a este mandate. Una vez desplegado el cambio, cada banco deberá solicitar las ventanas de certificación con la red para habilitarlos. Solo después de certificarlos, se procederá a activar la funcionalidad mediante configuración en el portal web y ajustes mínimos en los parámetros del autorizador. Si una entidad no habilita la funcionalidad, no se generará rechazo ni afectación alguna: el sistema simplemente devolverá los tokens que lleguen, manteniendo el comportamiento actual.
El cambio cuenta con documentación completa, análisis técnico, funcional y evaluación sin vulnerabilidades, y está programado para iniciar el 17 de febrero a las 7:00 a. m. Los miembros del Comité aprobaron la solicitud sin observaciones adicionales.";AS•NET;Yeison Arcos;Líder técnico;AS400;77475
CB-NO-IN-N/A-77471-PDCL;CRM35075 - Lectura de la tabla AUPGM no correcta;24/02/2026;"El cambio corresponde a un ajuste técnico en el autorizador, relacionado con la lectura de la tabla AUPGM que define qué programas están activos o inactivos. Se identificó que el sistema dejaba de cargar programas en memoria al encontrar el primer registro inactivo, impidiendo que se habilitaran correctamente los mandates posteriores. La mejora garantiza que el autorizador recorra toda la tabla y cargue únicamente los programas activos, sin importar el orden, corrigiendo así una deuda técnica.
No requiere parametrización adicional; solo implica el paso del objeto y el reinicio de la capa 400. Las pruebas se realizaron activando y desactivando programas y cargando parámetros en memoria para validar el comportamiento. Aunque el impacto funcional es bajo, se resaltó que es un componente base y transversal para todos los clientes, por lo que la estabilidad del proceso es clave.
El cambio cuenta con documentación completa y análisis sin vulnerabilidades, y está programado para el 24 de febrero. Fue aprobado por el Comité sin observaciones adicionales.";AS•NET;Yeison Arcos;Líder técnico;AS400;77471
